"","x"
"830","ENSG00000271714"
"831","ENSG00000242198"
"832","ENSG00000272040"
"833","ENSG00000213757"
"834","ENSG00000251050"
"835","ENSG00000249042"
"836","ENSG00000271043"
"837","ENSG00000271862"
"838","ENSG00000272367"
"839","ENSG00000249353"
"840","ENSG00000251023"
"841","ENSG00000251348"
"842","ENSG00000248734"
"843","ENSG00000247121"
"844","ENSG00000251606"
"845","ENSG00000238000"
"846","ENSG00000270906"
"847","ENSG00000224032"
"848","ENSG00000268358"
"849","ENSG00000249947"
"850","ENSG00000212643"
"851","ENSG00000270067"
"852","ENSG00000248175"
"853","ENSG00000249249"
"854","ENSG00000185641"
"855","ENSG00000271918"
"856","ENSG00000248663"
"857","ENSG00000249797"
"858","ENSG00000197744"
"859","ENSG00000247311"
"860","ENSG00000260686"
"861","ENSG00000250539"
"862","ENSG00000250602"
"863","ENSG00000224431"
"864","ENSG00000234290"
"865","ENSG00000271737"
"866","ENSG00000244921"
"867","ENSG00000248923"
"868","ENSG00000247627"
"869","ENSG00000270021"
"870","ENSG00000245146"
"871","ENSG00000196963"
"872","ENSG00000272070"
"873","ENSG00000228737"
"874","ENSG00000271871"
"875","ENSG00000261757"
"876","ENSG00000249669"
"877","ENSG00000253864"
"878","ENSG00000269936"
"879","ENSG00000241112"
"880","ENSG00000214485"
"881","ENSG00000197083"
"882","ENSG00000271795"
"883","ENSG00000272112"
"884","ENSG00000229119"
"885","ENSG00000233913"
"886","ENSG00000251414"
"887","ENSG00000251666"
"888","ENSG00000246334"
"889","ENSG00000248996"
"890","ENSG00000247679"
"891","ENSG00000246596"
"892","ENSG00000249684"
"893","ENSG00000249129"
"894","ENSG00000218227"
"895","ENSG00000225051"
"896","ENSG00000248367"
"897","ENSG00000260841"
"898","ENSG00000248560"
"899","ENSG00000248514"
"900","ENSG00000272463"
"901","ENSG00000272279"
"902","ENSG00000250903"
"903","ENSG00000230438"
"904","ENSG00000244041"
"905","ENSG00000270346"
"906","ENSG00000271361"
"907","ENSG00000261015"
"908","ENSG00000272277"
"909","ENSG00000272320"
"910","ENSG00000270504"
"911","ENSG00000260604"
"912","ENSG00000145965"
"913","ENSG00000271978"
"914","ENSG00000261211"
"915","ENSG00000220472"
"916","ENSG00000261189"
"917","ENSG00000229950"
"918","ENSG00000212802"
"919","ENSG00000272379"
"920","ENSG00000261071"
"921","ENSG00000272209"
"922","ENSG00000229931"
"923","ENSG00000272341"
"924","ENSG00000226786"
"925","ENSG00000272168"
"926","ENSG00000272345"
"927","ENSG00000272402"
"928","ENSG00000272053"
"929","ENSG00000220517"
"930","ENSG00000272065"
"931","ENSG00000272462"
"932","ENSG00000272810"
"933","ENSG00000197846"
"934","ENSG00000198518"
"935","ENSG00000187990"
"936","ENSG00000168274"
"937","ENSG00000196966"
"938","ENSG00000197459"
"939","ENSG00000261353"
"940","ENSG00000261584"
"941","ENSG00000198339"
"942","ENSG00000204789"
"943","ENSG00000271755"
"944","ENSG00000203813"
"945","ENSG00000184348"
"946","ENSG00000219891"
"947","ENSG00000237988"
"948","ENSG00000239257"
"949","ENSG00000273340"
"950","ENSG00000176998"
"951","ENSG00000230521"
"952","ENSG00000206341"
"953","ENSG00000231130"
"954","ENSG00000227262"
"955","ENSG00000230795"
"956","ENSG00000228078"
"957","ENSG00000235290"
"958","ENSG00000237669"
"959","ENSG00000233892"
"960","ENSG00000204528"
"961","ENSG00000272501"
"962","ENSG00000227939"
"963","ENSG00000225851"
"964","ENSG00000272221"
"965","ENSG00000250535"
"966","ENSG00000272217"
"967","ENSG00000269490"
"968","ENSG00000272374"
"969","ENSG00000228559"
"970","ENSG00000237719"
"971","ENSG00000246982"
"972","ENSG00000226976"
"973","ENSG00000217165"
"974","ENSG00000124593"
"975","ENSG00000261068"
"976","ENSG00000231113"
"977","ENSG00000181524"
"978","ENSG00000272223"
"979","ENSG00000272170"
"980","ENSG00000245261"
"981","ENSG00000271754"
"982","ENSG00000271857"
"983","ENSG00000231769"
"984","ENSG00000227885"
"985","ENSG00000271218"
"986","ENSG00000261116"
"987","ENSG00000226803"
"988","ENSG00000272541"
"989","ENSG00000272316"
"990","ENSG00000239650"
"991","ENSG00000250686"
"992","ENSG00000198225"
"993","ENSG00000230910"
"994","ENSG00000232295"
"995","ENSG00000229852"
"996","ENSG00000234882"
"997","ENSG00000235174"
"998","ENSG00000218418"
"999","ENSG00000233967"
"1000","ENSG00000260645"
"1001","ENSG00000220563"
"1002","ENSG00000272008"
"1003","ENSG00000203871"
"1004","ENSG00000228506"
"1005","ENSG00000228439"
"1006","ENSG00000219755"
"1007","ENSG00000260000"
"1008","ENSG00000231628"
"1009","ENSG00000269919"
"1010","ENSG00000225093"
"1011","ENSG00000271730"
"1012","ENSG00000230177"
"1013","ENSG00000271789"
"1014","ENSG00000272356"
"1015","ENSG00000255389"
"1016","ENSG00000155130"
"1017","ENSG00000272403"
"1018","ENSG00000230202"
"1019","ENSG00000237115"
"1020","ENSG00000234084"
"1021","ENSG00000260418"
"1022","ENSG00000272189"
"1023","ENSG00000225177"
"1024","ENSG00000226571"
"1025","ENSG00000259828"
"1026","ENSG00000217648"
"1027","ENSG00000229036"
"1028","ENSG00000270890"
"1029","ENSG00000217027"
"1030","ENSG00000225135"
"1031","ENSG00000220848"
"1032","ENSG00000220598"
"1033","ENSG00000213089"
"1034","ENSG00000218426"
"1035","ENSG00000237593"
"1036","ENSG00000235381"
"1037","ENSG00000271551"
"1038","ENSG00000218631"
"1039","ENSG00000218226"
"1040","ENSG00000233682"
"1041","ENSG00000235086"
"1042","ENSG00000270949"
"1043","ENSG00000272841"
"1044","ENSG00000223414"
"1045","ENSG00000233231"
"1046","ENSG00000261420"
"1047","ENSG00000197146"
"1048","ENSG00000226445"
"1049","ENSG00000226194"
"1050","ENSG00000266896"
"1051","ENSG00000273100"
"1052","ENSG00000242474"
"1053","ENSG00000237181"
"1054","ENSG00000273151"
"1055","ENSG00000273230"
"1056","ENSG00000175873"
"1057","ENSG00000272953"
"1058","ENSG00000273084"
"1059","ENSG00000230733"
"1060","ENSG00000235944"
"1061","ENSG00000260054"
"1062","ENSG00000228010"
"1063","ENSG00000198580"
"1064","ENSG00000272732"
"1065","ENSG00000272894"
"1066","ENSG00000233264"
"1067","ENSG00000227719"
"1068","ENSG00000197320"
"1069","ENSG00000273477"
